month,ACWV,AGG,AIRR,AMLP,AQWA,ARKG,ARKK,ARKQ,ARKW,ARKX,AVDE,AVDV,AVES,AVUS,AVUV,BIL,BOTZ,BRK-B,BTAL,CANE,CBOE,CEG,CIBR,CLOU,CME,COIN,COPX,CORN,COWZ,CTA,CXSE,DBMF,DFAS,DIVO,EDV,EFAV,EMB,EMXC,ESGD,EUAD,EWA,EWC,EWG,EWJ,EWT,EWU,EWZ,FNDC,FNDE,FNDF,FNDX,FNV,FTEC,GD,GDX,GDXJ,GLD,GLDM,GOVZ,GRID,GUNR,HACK,HYG,IAI,IBB,IBIT,IBKR,ICE,IEF,IEMG,IGV,IHAK,IHI,INDA,ITA,IUSV,IVV,IWD,IWN,IWS,IXUS,JEDI,JEPI,JEPQ,JQUA,KMLM,KOMP,KRE,KWEB,LMT,LQD,LTPZ,MOAT,MSCI,MTUM,NDAQ,NLR,NOC,NUKZ,PALL,PAVE,PDBC,PPA,PPLT,PRNT,PSCI,PSLV,QQEW,QTUM,QUAL,REMX,ROBO,ROKT,RPV,RTX,SCHD,SCHG,SCHP,SCHX,SETM,SHLD,SHY,SIL,SILJ,SKYY,SMH,SOXX,SPDW,SPGI,SPLV,SPMO,SPYG,STIP,TAIL,TIP,TIPZ,TLH,TLT,URA,URNM,USMV,V,VALQ,VFQY,VGLT,VNQ,VOO,VOX,VT,VTI,VTIP,VTV,WEAT,WM,WPM,XAR,XBI,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XSD,XSW,XT,ZROZ
2000-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02,,,,,,,,,,,,,,,,,,-0.125152,,,,,,,,,,,,,,,,,,,,,,,-0.029412,0.041198,0.106699,-0.012195,,-0.016025,,,,,,,,-0.082228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057433,,,,,,,,-0.090294,,,,,,,,,,,,,,,,,-0.034096,,,,,,,,,,,,,,-0.088262,,,,,,,,,,,,,,,,,,,,,,,,,-0.142856,,,,-0.042334,-0.107045,-0.055173,0.105068,-0.117014,-0.121538,-0.065387,,,,
2000-03,,,,,,,,,,,,,,,,,,0.263889,,,,,,,,,,,,,,,,,,,,,,,-0.042424,0.061151,-0.03139,0.08642,,0.065146,,,,,,,,0.150289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179378,,,,,,,,0.168276,,,,,,,,,,,,,,,,,0.24049,,,,,,,,,,,,,,-0.105651,,,,,,,,,,,,,,,,,,,,,,,,,-0.0875,,,,0.124424,0.182624,0.139207,0.083892,0.037593,0.109238,0.08995,,,,
2000-04,,,,,,,,,,,,,,,,,,0.052747,,,,,,,,,,,,,,,,,,,,,,,0.006329,-0.020339,-0.087963,-0.075757,,-0.039756,,,,,,,,0.181796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217126,,,,,,,,0.338844,,,,,,,,,,,,,,,,,-0.015826,,,,,,,,,,,,,,0.153846,,,,,,,,,,,,,,,,,,,,,,,,,0.168949,,,,-0.014926,0.009659,0.014446,-0.091847,0.053019,0.065458,-0.011717,,,,
2000-05,,,,,,,,,,,,,,,,,,-0.015658,,,,,,,,,,,,,,,,,,,,,,,-0.050314,0.00346,0.005076,-0.057377,,-0.035032,,,,,,,,0.009615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002981,,,,,,,,0.086779,,,,,,,,,,,,,,,,,-0.025194,,,,,,,,,,,,,,-0.015594,,,,,,,,,,,,,,,,,,,,,,,,,0.273437,,,,0.117425,0.022321,-0.00422,-0.103977,0.071328,-0.002194,-0.026804,,,,
2000-06,,,,,,,,,,,,,,,,,,-0.066808,,,,,,,,,,,,,,,,,,,,,,,0.145695,0.1,-0.020202,0.056522,,0.013202,,,,,,,,-0.115344,,,,,,,,,,,,,,,,,,,,,,,0.019754,-0.029475,,,,,,,,,,,,0.005064,,,,,,,,-0.1354,,,,,,,,,,,,,,,,,-0.025854,,,,,,,,,,,,,,0.049818,,,,,,,,,,,,,,,,,,,,,,,,,-0.067484,,,,-0.055016,-0.048501,-0.039332,0.099556,0.056613,-0.033968,0.002119,,,,
2000-07,,,,,,,,,,,,,,,,,,0.036932,,,,,,,,,,,,,,,,,,,,,,,-0.063584,0.028213,-0.002578,-0.111111,-0.036667,0.0,,,,,,,,0.085444,,,,,,,,,,,,,,,,,,,,,,,-0.017506,-0.001426,,,,,,,,,,,,0.133501,,,,,,,,0.072641,,,,,,,,,,,,,,,,,-0.008493,,,,,,,,,,,-0.099734,,,0.100695,,,,,,,,,,,,,,,,,,,,,,,,,-0.023026,,,,-0.038105,0.088158,0.01547,-0.053057,-0.036532,0.015482,-0.0148,,,,
2000-08,,,,,,,,,,,,,,,,,,0.048219,,,,,,,,,,,,,,,,,,,,,,,0.003755,0.082383,-0.04566,0.066615,-0.020942,0.008872,0.038495,,,,,,,0.115171,,,,,,,,,,,,,,,,,,,,,,,0.06526,0.059664,0.053972,,,,,,,,,,,0.012931,,,,,,,,0.101154,,,,,,,,,,,,,,,,,0.072959,,,,,,,,,,,0.166174,,,0.046439,,,,,,,,,,,,,,,,,,,,,,,,,0.021044,,,,0.109207,0.101572,0.099021,0.101706,-0.012211,0.038961,0.035408,,,,
2000-09,,,,,,,,,,,,,,,,,,0.08207,,,,,,,,,,,,,,,,,,,,,,,-0.044025,-0.05147,-0.06079,-0.049327,-0.162963,-0.030508,-0.082279,,,,,,,-0.001986,,,,,,,,,,,,,,,,,,,,,,0.008565,-0.054444,0.003849,-0.002039,,,,,,,,,,,0.160528,,,,,,,,0.167637,,,,,,,,,,,,,,,,,0.111112,,,,,,,,,,,-0.279544,,,0.025977,,,,,,,,,,,,,,,,,,,,,,,,,-0.079454,,,,0.016442,0.02174,-0.029042,-0.179657,0.044295,0.132143,-0.036269,,,,
2000-10,,,,,,,,,,,,,,,,,,0.015942,,,,,,,,,,,,,,,,,,,,,,,-0.052631,-0.077519,0.009708,-0.042453,-0.119469,0.027972,-0.110345,,,,,,,0.144058,,,,,,,,,,,,,,,,,,,,,,0.020106,-0.003914,0.025848,-0.008102,,,,,,,,,,,0.088673,,,,,,,,-0.075653,,,,,,,,,,,,,,,,,0.006306,,,,,,,,,,,-0.075246,,,0.009833,,,,,,,,,,,,,,,,,,,,,,,,,0.146953,,,,-0.027182,-0.008621,0.022495,-0.057278,0.069419,0.058083,0.015053,,,,
