Date,Open,High,Low,Close,Adj_Close,Volume,Capital_Gains,Repaired?
2000-01-03,16.875,16.875,16.625,16.625,7.947596073150635,11500,0.0,False
2000-01-04,16.375,16.375,15.875,15.875,7.5890583992004395,8300,0.0,False
2000-01-05,16.0,16.1875,16.0,16.1875,7.738449573516846,6500,0.0,False
2000-01-06,15.8125,16.0,15.8125,16.0,7.648813247680664,3600,0.0,False
2000-01-07,16.0625,16.25,16.0625,16.25,7.768328666687012,8000,0.0,False
2000-01-10,16.75,16.875,16.5625,16.8125,8.037232398986816,11100,0.0,False
2000-01-11,16.75,16.75,16.75,16.75,8.007355690002441,3900,0.0,False
2000-01-12,16.625,16.625,16.4375,16.4375,7.857961654663086,4100,0.0,False
2000-01-13,16.4375,16.4375,16.4375,16.4375,7.857961654663086,100,0.0,False
2000-01-14,16.5625,16.75,16.5625,16.75,8.007355690002441,1500,0.0,False
2000-01-18,16.5,16.625,16.3125,16.625,7.947596073150635,7400,0.0,False
2000-01-19,16.75,16.875,16.75,16.875,8.067108154296875,3300,0.0,False
2000-01-20,16.6875,16.875,16.6875,16.875,8.067108154296875,6400,0.0,False
2000-01-21,16.8125,16.8125,16.8125,16.8125,8.037232398986816,900,0.0,False
2000-01-24,16.8125,16.875,16.6875,16.6875,7.977474689483643,16600,0.0,False
2000-01-25,16.5625,16.5625,16.25,16.25,7.768328666687012,8300,0.0,False
2000-01-26,16.625,17.0625,16.625,17.0625,8.156744003295898,4600,0.0,False
2000-01-27,17.1875,17.3125,17.0625,17.0625,8.156744003295898,2900,0.0,False
2000-01-28,17.0,17.0,16.5,16.75,8.007355690002441,1900,0.0,False
2000-01-31,16.5625,16.6875,16.5,16.6875,7.977474689483643,2500,0.0,False
2000-02-01,16.75,16.75,16.75,16.75,8.007355690002441,1900,0.0,False
2000-02-02,16.875,17.375,16.875,17.375,8.306138038635254,700,0.0,False
2000-02-03,17.5625,17.5625,17.25,17.25,8.246378898620605,15700,0.0,False
2000-02-04,17.3125,18.0625,17.3125,18.0625,8.63479232788086,47900,0.0,False
2000-02-07,18.0,18.0,17.6875,17.75,8.485403060913086,5100,0.0,False
