Date,Open,High,Low,Close,Adj_Close,Volume,Capital_Gains,Repaired?
2000-10-02,24.09375,24.09375,24.09375,24.09375,18.274433263417745,2000,0.0,True
2000-10-03,23.8125,23.8125,23.8125,23.8125,18.06111252693837,2000,0.0,True
2000-10-04,23.8125,23.8125,23.8125,23.8125,18.06111252693837,0,0.0,True
2000-10-05,23.53125,23.53125,23.53125,23.53125,17.847782269507057,2000,0.0,True
2000-10-06,23.53125,23.53125,23.53125,23.53125,17.847782269507057,0,0.0,True
2000-10-09,23.53125,23.53125,23.53125,23.53125,17.847782269507057,0,0.0,True
2000-10-10,23.53125,23.53125,23.53125,23.53125,17.847782269507057,0,0.0,True
2000-10-11,23.53125,23.53125,23.53125,23.53125,17.847782269507057,0,0.0,True
2000-10-12,21.203125,21.203125,21.203125,21.203125,16.08196558959157,100000,0.0,True
2000-10-13,21.203125,21.203125,21.203125,21.203125,16.08196558959157,0,0.0,True
2000-10-16,22.25,22.25,22.25,22.25,16.875999651618976,400,0.0,True
2000-10-17,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-18,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-19,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-20,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-23,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-24,22.25,22.25,22.25,22.25,16.875999651618976,0,0.0,True
2000-10-25,22.234375,22.234375,21.984375,21.984375,16.674526787727235,800,0.0,True
2000-10-26,21.28515625,21.40625,21.28515625,21.40625,16.236046963132786,20800,0.0,True
2000-10-27,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-10-30,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-10-31,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-01,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-02,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-03,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-06,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-07,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-08,21.40625,21.40625,21.40625,21.40625,16.236046963132786,0,0.0,True
2000-11-09,21.53125,21.828125,21.0625,21.515625,16.31899540057892,2800,0.0,True
2000-11-10,21.515625,21.515625,21.515625,21.515625,16.31899540057892,0,0.0,True
2000-11-13,20.0,20.0,19.875,19.875,15.07462507251269,800,0.0,True
2000-11-14,20.9375,20.9375,20.9375,20.9375,15.880494629890213,400,0.0,True
2000-11-15,21.71875,21.71875,21.640625,21.640625,16.413805039945395,1200,0.0,True
