ticker,ok,rows,err
ACWV,True,3738,
AGG,True,5769,
AIRR,True,3140,
AMLP,True,4030,
AQWA,True,1356,
ARKG,True,2976,
ARKK,True,2976,
ARKQ,True,2999,
ARKW,True,2999,
ARKX,True,1364,
AVDE,True,1743,
AVDV,True,1743,
AVES,True,1236,
AVUS,True,1743,
AVUV,True,1743,
BIL,True,4847,
BOTZ,True,2507,
BRK-B,True,6707,
BTAL,True,3765,
CANE,True,3761,
CBOE,True,4080,
CEG,True,1160,
CIBR,True,2807,
CLOU,True,1856,
CME,True,5972,
COIN,True,1354,
COPX,True,4119,
CORN,True,4084,
COWZ,True,2436,
CTA,True,1127,
CXSE,True,3507,
DBMF,True,1841,
DFAS,True,1312,
DIVO,True,2441,
EDV,True,4679,
EFAV,True,3738,
EMB,True,4705,
EMXC,True,2289,
ESGD,True,2519,
EUAD,True,467,
EWA,True,6707,
EWC,True,6707,
EWG,True,6707,
EWJ,True,6707,
EWT,True,6587,
EWU,True,6707,
EWZ,True,6573,
FNDC,True,3282,
FNDE,True,3282,
FNDF,True,3282,
FNDX,True,3282,
FNV,True,4713,
FTEC,True,3233,
GD,True,6707,
GDX,True,5103,
GDXJ,True,4227,
GLD,True,5481,
GLDM,True,2058,
GOVZ,True,1491,
GRID,True,4223,
GUNR,True,3758,
HACK,True,2968,
HYG,True,4881,
IAI,True,5114,
IBB,True,6427,
IBIT,True,663,
IBKR,True,4864,
ICE,True,5230,
IEF,True,6063,
IEMG,True,3483,
IGV,True,6320,
IHAK,True,1815,
IHI,True,5114,
INDA,True,3666,
ITA,True,5114,
IUSV,True,6558,
IVV,True,6611,
IWD,True,6606,
IWN,True,6563,
IWS,True,6308,
IXUS,True,3483,
JEDI,True,235,
JEPI,True,1579,
JEPQ,True,1087,
JQUA,True,2214,
KMLM,True,1444,
KOMP,True,1975,
KRE,True,5081,
KWEB,True,3292,
LMT,True,6707,
LQD,True,6063,
LTPZ,True,4273,
MOAT,True,3610,
MSCI,True,4728,
MTUM,True,3365,
NDAQ,True,6083,
NLR,True,4793,
NOC,True,6707,
NUKZ,True,655,
PALL,True,4188,
PAVE,True,2386,
PDBC,True,2971,
PPA,True,5245,
PPLT,True,4188,
PRNT,True,2545,
PSCI,True,4128,
PSLV,True,3984,
QQEW,True,5117,
QTUM,True,2009,
QUAL,True,3302,
REMX,True,3985,
ROBO,True,3235,
ROKT,True,1975,
RPRX,True,1564,
RPV,True,5156,
RTX,True,6707,
SCHD,True,3738,
SCHG,True,4192,
SCHP,True,4044,
SCHX,True,4233,
SETM,True,899,
SHLD,True,745,
SHY,True,6063,
SIL,True,4119,
SILJ,True,3460,
SKYY,True,3813,
SMH,True,6601,
SOXX,True,6322,
SPDW,True,4870,
SPGI,True,6707,
SPLV,True,3855,
SPMO,True,2739,
SPYG,True,6518,
STIP,True,3960,
TAIL,True,2365,
TIP,True,5721,
TIPZ,True,4272,
TLH,True,4942,
TLT,True,6063,
URA,True,3979,
URNM,True,1695,
USMV,True,3738,
V,True,4644,
VALQ,True,2170,
VFQY,True,2148,
VGLT,True,4192,
VNQ,True,5517,
VOO,True,4020,
VOX,True,5517,
VT,True,4575,
VTI,True,6341,
VTIP,True,3489,
VTV,True,5684,
WEAT,True,3761,
WM,True,6707,
WPM,True,5324,
XAR,True,3753,
XBI,True,5176,
XLE,True,6707,
XLF,True,6707,
XLI,True,6707,
XLK,True,6707,
XLP,True,6707,
XLU,True,6707,
XLV,True,6707,
XSD,True,5176,
XSW,True,3753,
XT,True,2879,
ZROZ,True,4232,
